frag_ID,,Locus,attivita,ware,fragment_type,weight_g,surface_area,diameter,perc_preserved,rim_length,rim_height,height_of_preserved_wall,basefloorlength,lengthpreserved.lid,angle_f_rim,angle_of_body,open_closed,main_angle_up,secondary_base_angle,upper_thickness,central_thickness,lowerthickness,surface_treat,macro_fabric,SAS_notes,morphology_notes,edges,chip,chip_length,calcium_crust,perc_calc_int,perc_calc_ext,stains,abras_base_int,abras_wall_int,abras_rim_int,abras_base_ext,abras_wall_ext,abras_rim_ext,location_of_abrasion,direction_scratches_ext,scratch_dir_ext_num,concentric_scr_ext,chordal_scr_ext,radial_scr_ext,criss_cross_e,surface_area_abrasion_e,direction_scratches_int,scratch_dir_int_num,concentric_scr_int,chordal_scr_int,radial_scr_int,criss_cross_i,surface_area_abrasion_i,microscopic_image,blackening_int,BL_int_1,BL_int_2,BL_int_3,BL_int_4,BL_int_5,BL_int_6,BL_int_7,BL_int_8,BL_int_9,BL_int_10,BL_int_11,BL_int_22,blackening_location_int,blackening_ext,BL_ext_1,BL_ext_2,BL_ext_3,BL_ext_4,BL_ext_5,BL_ext_6,BL_ext_7,BL_ext_8,BL_ext_9,BL_ext_10,BL_ext_11,BL_ext_22,blackening_location_ext,bottom_base,alteration_notes,frag_type_num,ware_num,filter_MusarnaRIM_WHOLE,site_num,filter_LARGERVESSELS_percpres,PrimaryLast,filter_Musarna_cookware_rims,filter_$,Rdiamete,Ndiamete,dup_diam_CW,RAN001,NTI001,julie_period,nov19.3pm_period,cistern,ocu_num,funct_type,RAN002,NTI002,black_tot,black_tot_int,black_tot_ext,both_fours,abras_tot_int,abras_tot_ext,R_olladiam,N_olladiam,R_ollaangle,N_ollarimangle,Rangle_f,Nangle_f,RAN003,NTI003,cookware_base_groups,int_cookware_black5,RAN004,NTI004,PERIOD_old,PERIOD,period_pop_jan22,collapsed_periods
165,Populonia,4695,79,da fuoco,rim,11,9,13,8,4.0,3.0,,,,40,,o,,,5.98,,,none,small flakes of mica,,,2,lip,0,Y,40,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,10,14,0,3,1,0,0,0,,,13.00,,,7,7,,3,2,,,0,0,0,,0.00,0.00,,,,,,,,,,,,,7,7,8,
166,Populonia,4695,79,da fuoco,rim,10,9,11,6,2.5,4.0,,,,45,80,o,,,4.99,6.36,8.18,,"very fine mica, very fine black spheres",,diameter tough b/c this is not symmetrical or well rounded,1,lip,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,5.,0,,10,14,0,3,1,0,0,0,,,11.00,,,7,7,,2,2,,,1,1,1,,0.00,0.00,,,,,,,,,,0,,,7,7,8,
167,Populonia,4695,79,da fuoco,rim,26,16,26,12,10.0,2.5,,,,20,,o,,,5.06,6.92,5.64,,"fine black specks, large brown sphere grains, white specks, poorly sorted",,2 joining pieces; joins with 168,1,,,,,,,0,0,1,0,0,0,rim_int,,,,,,,,concentric,1,1,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,1,0,0,0,0,0,0,0,0,4.,0,,10,14,0,3,1,0,0,0,,,26.00,,,7,7,,1,1,,,1,0,1,,1.00,0.00,,,,,,,,,,,,,7,7,8,
168,Populonia,4695,79,da fuoco,rim,45,49,26,6,5.0,7.5,,,,20,55,o,,,4.75,7.59,6.15,none,"fine flecks of mica, white specks, brown specks",,joins with frag 167,1,,,,,,,0,0,1,0,0,0,rim_int,,,,,,,,concentric,1,1,0,0,,,Y,,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,0,0,1,0,0,0,0,0,0,0,0,41.,0,fine cracks along interior lid seating,10,14,0,3,1,0,0,0,,,26.00,,,7,7,,1,1,,,1,0,1,,1.00,0.00,,,,,,,,,,,,,7,7,8,
169,Populonia,4695,79,da fuoco,rim,4,9,,4,1.5,3.0,,,,60,55,o,,,3.40,5.02,5.37,no,"white flecks, mica",,,1,,,Y,2,10,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,1,0,0,0,9.,0,,10,14,0,3,0,0,0,0,,,,,,7,7,,2,2,,,1,0,1,,0.00,0.00,,,,,,,,,,,,,7,7,8,
170,Populonia,4695,79,da fuoco,rim,22,25,13,7,4.0,7.0,,,,45,70,u,,,5.05,5.91,4.82,no,"fine mica flecks, otherwise nv",,,1,,,Y,2,5,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,0,0,0,0,0,0,0,1,0,0,10.,0,black through matrix,10,14,0,3,1,1,0,0,,,13.00,,,7,7,,2,2,,,1,1,1,,0.00,0.00,,,,,,,,,,0,,,7,7,8,
171,Populonia,4695,79,da fuoco,rim,13,16,11,12,5.0,4.0,,,,60,,o,,,6.14,5.64,5.78,no,"fine mica flecks, black spherical grains",,,2,,,N,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,0,0,0,0,0,0,0,1,0,0,10.,0,,10,14,0,3,1,0,0,0,,,11.00,,,7,7,,2,2,,,1,1,1,,0.00,0.00,,,,,,,,,,0,,,7,7,8,
172,Populonia,4695,79,da fuoco,rim,23,25,12,12,5.0,6.0,,,,50,75,o,,,5.91,6.83,5.83,no,fine white-brown inclusions,,,1,,,Y,20,80,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,10,0,,10,14,0,3,1,0,0,0,,,12.00,,,7,7,,2,2,,,1,1,1,,0.00,0.00,,,,,,,,,,0,,,7,7,8,
173,Populonia,4695,79,da fuoco,rim,12,16,18,8,5.0,3.5,,,,55,65,o,,,5.27,5.84,5.86,none,fine mica,,,1,,,N,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,0,0,0,0,0,0,0,1,0,0,10.,0,,10,14,0,3,1,0,0,0,,,18.00,,,7,7,,2,2,,,1,1,1,,0.00,0.00,,,,,,,,,,0,,,7,7,8,
175,Populonia,4695,79,da fuoco,rim or lid,23,25,,4,3.5,5.0,,,,,,o,,,5.99,6.32,6.55,no,small black spheres,,rim to bumpy and small to find diam or angle,1,,,Y,70,50,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,1,0,0,10,3,0,0,0,0,0,0,0,0,0,1,0,0,10.,0,ext and int,11,14,0,3,0,0,0,0,,,,,,7,7,,1,4,,,1,1,1,,0.00,0.00,,,,,,,,,,0,,,7,7,8,
